direction,local_day,rows
departure,2026-08-01,330
departure,2026-08-02,338
departure,2026-08-03,327
departure,2026-08-04,314
departure,2026-08-05,319
departure,2026-08-06,336
departure,2026-08-07,332
departure,2026-08-08,333
departure,2026-08-09,334
departure,2026-08-10,332
departure,2026-08-11,318
departure,2026-08-12,330
departure,2026-08-13,341
departure,2026-08-14,342
departure,2026-08-15,330
departure,2026-08-16,328
departure,2026-08-17,318
departure,2026-08-18,317
departure,2026-08-19,328
departure,2026-08-20,319
departure,2026-08-21,331
departure,2026-08-22,329
departure,2026-08-23,338
departure,2026-08-24,324
departure,2026-08-25,333
departure,2026-08-26,293
departure,2026-08-27,336
departure,2026-08-28,321
departure,2026-08-29,330
departure,2026-08-30,341
departure,2026-08-31,315
arrival,2026-08-01,330
arrival,2026-08-02,355
arrival,2026-08-03,342
arrival,2026-08-04,327
arrival,2026-08-05,339
arrival,2026-08-06,336
arrival,2026-08-07,341
arrival,2026-08-08,346
arrival,2026-08-09,341
arrival,2026-08-10,340
arrival,2026-08-11,326
arrival,2026-08-12,335
arrival,2026-08-13,334
arrival,2026-08-14,332
arrival,2026-08-15,340
arrival,2026-08-16,327
arrival,2026-08-17,328
arrival,2026-08-18,321
arrival,2026-08-19,330
arrival,2026-08-20,325
arrival,2026-08-21,332
arrival,2026-08-22,338
arrival,2026-08-23,352
arrival,2026-08-24,337
arrival,2026-08-25,330
arrival,2026-08-26,312
arrival,2026-08-27,344
arrival,2026-08-28,331
arrival,2026-08-29,339
arrival,2026-08-30,351
arrival,2026-08-31,331
